time,obs
1392033600,193
1392037200,95
1392040800,128
1392044400,85
1392048000,64
1392051600,102
1392055200,73
1392058800,56
1392062400,88
1392066000,56
1392069600,58
1392073200,59
1392076800,43
1392080400,32
1392084000,38
1392087600,21
1392091200,31
1392094800,27
1392098400,30
1392102000,62
1392105600,68
1392109200,51
1392112800,83
1392116400,63
1392120000,60
1392123600,88
1392127200,64
1392130800,94
1392134400,74
1392138000,51
1392141600,60
1392145200,73
1392148800,44
1392152400,74
1392156000,78
1392159600,115
1392163200,50
1392166800,50
1392170400,32
1392174000,49
1392177600,41
1392181200,28
1392184800,30
1392188400,63
1392192000,42
1392195600,36
1392199200,56
1392202800,62
1392206400,53
1392210000,53
1392213600,64
1392217200,83
1392220800,56
1392224400,86
1392228000,61
1392231600,111
1392235200,129
1392238800,113
1392242400,81
1392246000,84
1392249600,46
1392253200,69
1392256800,41
1392260400,42
1392264000,39
1392267600,71
1392271200,41
1392274800,54
1392278400,32
1392282000,47
1392285600,43
1392289200,86
1392292800,75
1392296400,46
1392300000,55
1392303600,39
1392307200,141
1392310800,106
1392314400,40
1392318000,54
1392321600,70
1392325200,77
1392328800,74
1392332400,92
1392336000,33
1392339600,47
1392343200,18
1392346800,22
1392350400,15
1392354000,19
1392357600,21
1392361200,44
1392364800,43
1392368400,45
1392372000,48
1392375600,52
1392379200,50
1392382800,54
1392386400,37
1392390000,76
1392393600,92
1392397200,116
1392400800,81
1392404400,96
1392408000,51
1392411600,138
1392415200,87
1392418800,54
1392422400,37
1392426000,28
1392429600,23
1392433200,22
1392436800,17
1392440400,15
1392444000,28
1392447600,28
1392451200,41
1392454800,26
1392458400,32
1392462000,47
1392465600,49
1392469200,66
1392472800,47
1392476400,51
1392480000,61
1392483600,51
1392487200,43
1392490800,44
1392494400,62
1392498000,87
1392501600,94
1392505200,40
1392508800,62
1392512400,95
1392516000,68
1392519600,34
1392523200,15
1392526800,33
1392530400,37
1392534000,16
1392537600,35
1392541200,68
1392544800,74
1392548400,128
1392552000,131
1392555600,106
1392559200,107
1392562800,109
1392566400,77
1392570000,130
1392573600,95
1392577200,101
1392580800,59
1392584400,125
1392588000,120
1392591600,99
1392595200,63
1392598800,66
1392602400,32
1392606000,87
1392609600,32
1392613200,38
1392616800,36
1392620400,61
1392624000,39
1392627600,42
1392631200,105
1392634800,100
1392638400,69
1392642000,65
1392645600,67
1392649200,95
1392652800,169
1392656400,112
1392660000,155
1392663600,105
1392667200,87
1392670800,87
1392674400,84
1392678000,123
1392681600,67
1392685200,40
1392688800,27
1392692400,15
1392696000,20
1392699600,10
1392703200,34
1392706800,73
1392710400,98
1392714000,100
1392717600,713
1392721200,904
1392724800,1066
1392728400,1011
1392732000,1643
1392735600,2081
1392739200,2922
1392742800,3418
1392746400,2784
1392750000,6497
1392753600,12251
1392757200,11217
1392760800,12207
1392764400,11864
1392768000,8676
1392771600,5501
1392775200,3222
1392778800,3052
1392782400,3830
1392786000,4987
1392789600,6352
1392793200,7712
1392796800,4966
1392800400,4825
1392804000,5236
1392807600,4038
1392811200,3933
1392814800,4716
1392818400,4740
1392822000,5287
1392825600,4078
1392829200,7496
1392832800,6650
1392836400,4769
1392840000,3488
1392843600,3791
1392847200,4226
1392850800,2264
1392854400,1719
1392858000,1258
1392861600,1089
1392865200,828
1392868800,1709
1392872400,821
1392876000,1072
1392879600,1516
1392883200,3712
1392886800,5921
1392890400,7505
1392894000,7893
1392897600,8088
1392901200,9227
1392904800,9776
1392908400,11061
1392912000,11931
1392915600,9434
1392919200,8547
1392922800,9248
1392926400,7352
1392930000,8068
1392933600,7939
1392937200,7728
1392940800,5505
1392944400,4178
1392948000,4447
1392951600,3687
1392955200,2111
1392958800,2157
1392962400,2561
1392966000,3205
1392969600,3334
1392973200,3176
1392976800,3114
1392980400,2969
1392984000,3629
1392987600,3513
1392991200,3857
1392994800,3573
1392998400,2664
1393002000,2668
1393005600,1832
1393009200,2021
1393012800,1958
1393016400,2778
1393020000,1986
1393023600,1830
1393027200,1376
1393030800,812
1393034400,838
1393038000,578
1393041600,445
1393045200,437
1393048800,457
1393052400,557
1393056000,1082
1393059600,2964
1393063200,2723
1393066800,2773
1393070400,2575
1393074000,2750
1393077600,3432
1393081200,5176
1393084800,5147
1393088400,3552
1393092000,3753
1393095600,4857
1393099200,4322
1393102800,2793
1393106400,1774
1393110000,1605
1393113600,1138
1393117200,743
1393120800,526
1393124400,527
1393128000,509
1393131600,444
1393135200,395
1393138800,330
1393142400,491
1393146000,971
1393149600,1240
1393153200,1018
1393156800,851
1393160400,858
1393164000,1429
1393167600,930
1393171200,1010
1393174800,1142
1393178400,1020
1393182000,916
1393185600,857
1393189200,985
1393192800,742
1393196400,844
1393200000,581
1393203600,377
1393207200,354
1393210800,183
1393214400,189
1393218000,159
1393221600,210
1393225200,381
1393228800,482
1393232400,470
1393236000,500
1393239600,523
1393243200,581
1393246800,586
1393250400,569
1393254000,611
1393257600,634
1393261200,658
1393264800,899
1393268400,661
1393272000,931
1393275600,615
1393279200,640
1393282800,476
1393286400,345
1393290000,289
1393293600,185
1393297200,170
1393300800,146
1393304400,197
1393308000,177
1393311600,132
1393315200,222
1393318800,287
1393322400,410
1393326000,445
1393329600,411
1393333200,604
1393336800,478
1393340400,401
1393344000,438
1393347600,478
1393351200,489
1393354800,473
1393358400,517
1393362000,368
1393365600,394
1393369200,864
1393372800,369
1393376400,172
1393380000,167
1393383600,93
1393387200,156
1393390800,110
1393394400,130
1393398000,150
1393401600,197
1393405200,197
1393408800,310
1393412400,314
1393416000,385
1393419600,341
1393423200,412
1393426800,267
1393430400,290
1393434000,229
1393437600,390
1393441200,483
1393444800,278
1393448400,219
1393452000,241
1393455600,187
1393459200,148
1393462800,171
1393466400,90
1393470000,73
1393473600,98
1393477200,88
1393480800,96
1393484400,143
1393488000,200
1393491600,244
1393495200,322
1393498800,253
1393502400,416
1393506000,257
1393509600,253
1393513200,307
1393516800,327
1393520400,467
1393524000,557
1393527600,274
1393531200,250
1393534800,282
1393538400,242
1393542000,280
1393545600,175
1393549200,126
