text,lang,id,createdAt,userId,hashtags,userScreenName,retweetedToId,obs
#Barcelona 😢,und,898717083248190000,2017-08-19T01:23:44Z,26154178,Barcelona,marienotbusy,,1
:( #Barcelona,und,898468327496004000,2017-08-18T08:55:16Z,861257458190348000,Barcelona,InmigranteBcn,,1
#Barcelona 😑😕😔,und,898417496704697000,2017-08-18T05:33:17Z,586780233,Barcelona,serena_gs21,,1
Barcelona 💛,pt,898429580494516000,2017-08-18T06:21:18Z,890616824211046000,,marieshenr,,1
Barcelona 😢🇪🇸💔,pt,898224005081125000,2017-08-17T16:44:25Z,620197067,,nadissime,,1
Barcelona 💔,pt,898221991790076000,2017-08-17T16:36:25Z,2427528568,,VuelvoA_Verte,,1
#Barcelona ❤️,und,898211694773752000,2017-08-17T15:55:30Z,753256132727206000,Barcelona,chuckzenere,,1
BARCELONA ❤,pt,898220951636251000,2017-08-17T16:32:17Z,255120954,,MariaGirondaM,,1
#BARCELONA 🙏🏽⭐️,und,898225213015544000,2017-08-17T16:49:13Z,403633306,BARCELONA,RomainRibeiro,,1
Barcelona 💔,pt,898333971351601000,2017-08-18T00:01:23Z,70381092,,Eloise_Tgd,,1
#Barcelona 😫🙏🙏,und,898346382297146000,2017-08-18T00:50:42Z,889999463606928000,Barcelona,Miranda76939659,,1
#Barcelona 😦🇪🇸,und,898239180060455000,2017-08-17T17:44:43Z,3232975691,Barcelona,Superbessweet,,1
Barcelona💔,pt,898257601455993000,2017-08-17T18:57:55Z,860210044490703000,,aandrea_ms,,1
Barcelona...😞❤️,pt,898229000476164000,2017-08-17T17:04:16Z,375236733,,MaiteEtxeita,,1
Barcelona♥️🙏🏽✨😞,pt,898248776644780000,2017-08-17T18:22:51Z,981805903,,MARMINISTA,,1
Barcelona 🙏💔💜,pt,898247254108025000,2017-08-17T18:16:48Z,44339253,,Lauren_May123,,1
😢#Barcelona,und,898264450729259000,2017-08-17T19:25:08Z,227011386,Barcelona,maeghansmulders,,1
💔💓 #Barcelona,und,898230086796591000,2017-08-17T17:08:35Z,372349532,Barcelona,cerysowen,,1
🕯🕯Barcelona🕯🕯,pt,898251842676773000,2017-08-17T18:35:02Z,432034535,,BettinaSchimak,,1
Barcelona 🙏🏾,pt,898232087513363000,2017-08-17T17:16:32Z,98000352,,SOoNasty_,,1
Barcelona 🖤,pt,898233744242377000,2017-08-17T17:23:07Z,3039132388,,espaimutant,,1
#Barcelona,und,898258499016172000,2017-08-17T19:01:29Z,3183426491,Barcelona,mrjmlv,,1
Barcelona 💔🇪🇸,pt,898257739847160000,2017-08-17T18:58:28Z,383915041,,Vanity_Killsz,,1
❤️💪 #Barcelona,und,898303550048137000,2017-08-17T22:00:30Z,32704729,Barcelona,martina1312,,1
💔 Barcelona 💔,pt,898289469769392000,2017-08-17T21:04:33Z,872909246,,ShelbyWulfert,,1
Barcelona 💔 🇪🇸,pt,898287230007071000,2017-08-17T20:55:39Z,556150464,,chambers_chloe,,1
#Barcelona,und,899311562921579000,2017-08-20T16:45:59Z,899309170893181000,Barcelona,KevinKi21820385,,1
🙏🏼❤️Barcelona 😰,pt,898558924449874000,2017-08-18T14:55:16Z,1396784593,,jgn1000,,1
❤Barcelona,pt,900008001934721000,2017-08-22T14:53:23Z,867657426,,Sumitra_Janko,,1
Barcelona,pt,901507532740588000,2017-08-26T18:11:59Z,1532145301,,Sumeer1122,,1
🔔🔔🔔🔔🔔 😍BARCELONA💛,pt,895276885747405000,2017-08-09T13:33:37Z,1359755628,,SantiagoS_BSC,,1
Barcelona💙💙,pt,894660201441354000,2017-08-07T20:43:08Z,3231763620,,noorbucheri,,1
BARCELONA,pt,896825850607350000,2017-08-13T20:08:39Z,82020651,,lauramichaca,,1
Barcelona😔💔,pt,898542159791481000,2017-08-18T13:48:39Z,273648598,,mfan0us,,1
#barcelona 🙏🏻❤️,und,898500048979456000,2017-08-18T11:01:19Z,361141677,barcelona,eliffoner,,1
Barcelona 😢,pt,898278463911510000,2017-08-17T20:20:49Z,870003049259029000,,SueConley19,,1
